request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_134,5357660.28,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,Pay IDR 21831000 today. This keeps the IDR 15902500 minimum protected over the next 90 days.
request_135,304.80,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This keeps the USD 500 minimum protected over the next 90 days.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 today. This keeps the USD 1100 minimum protected over the next 90 days.
request_137,29804.29,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 71800 minimum protected.
request_138,1065.87,affordable_with_plan,partial_payment,2026-04-07:1065.87|2026-04-15:191.07,2026-04-15,none,Pay EUR 1256.94 today. This keeps the EUR 2300 minimum protected over the next 90 days.
request_139,1400.90,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 1500 minimum protected.
request_140,1616.97,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 21600 minimum protected.
request_141,25826.83,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today. This keeps the USD 1700 minimum protected over the next 90 days.
request_143,3348.94,affordable_later,wait,2025-07-15:12584,2025-07-15,none,Pay ZAR 12584 today. This keeps the ZAR 11300 minimum protected over the next 90 days.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This keeps the USD 600 minimum protected over the next 90 days.
request_145,50883.07,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 155400 minimum protected.
request_146,25109.86,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 108600 minimum protected.
request_147,503.16,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,Pay EUR 1129.70 today. This keeps the EUR 900 minimum protected over the next 90 days.
request_148,7172.24,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 20000 minimum protected.
request_149,26593.28,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,Pay ZAR 36652 today. This keeps the ZAR 42100 minimum protected over the next 90 days.
request_150,293.20,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This keeps the IDR 31633600 minimum protected over the next 90 days.
request_152,10973.61,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 11900 minimum protected.
request_153,140.07,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 1400 minimum protected.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Pay EUR 1625.80 today. This keeps the EUR 1300 minimum protected over the next 90 days.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This keeps the INR 56300 minimum protected over the next 90 days.
request_156,9219.35,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Pay ZAR 43076 today. This keeps the ZAR 26900 minimum protected over the next 90 days.
request_157,4671870.61,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,Pay IDR 23503000 today. This keeps the IDR 15714100 minimum protected over the next 90 days.
request_158,199006.35,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 131400 minimum protected.
request_159,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 8700 minimum protected.
request_160,567.15,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,Pay EUR 1246.30 today. This keeps the EUR 1200 minimum protected over the next 90 days.
request_161,7334204.65,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,Pay IDR 21204000 today. This keeps the IDR 23010400 minimum protected over the next 90 days.
request_162,2703437.09,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 24161100 minimum protected.
request_163,11884876.14,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,Pay IDR 19304000 today. This keeps the IDR 26728700 minimum protected over the next 90 days.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Pay IDR 27018000 today. This keeps the IDR 29550500 minimum protected over the next 90 days.
request_165,70597.77,affordable_with_plan,full_payment,2026-04-06:80600,,reduce_to:event_15168:1875|reduce_to:event_15172:1875,Pay INR 80600 today with spending change reduce_to:event_15168:1875|reduce_to:event_15172:1875. This keeps the INR 95000 minimum protected.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Pay USD 2907.60 today. This keeps the USD 1700 minimum protected over the next 90 days.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This keeps the ZAR 31200 minimum protected over the next 90 days.
request_168,36056.32,affordable_with_plan,partial_payment,2026-01-07:36056.32|2026-02-15:13323.68,2026-02-15,none,Pay INR 49380 today. This keeps the INR 114400 minimum protected over the next 90 days.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This keeps the ZAR 18700 minimum protected over the next 90 days.
request_170,32206070.04,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,Pay IDR 36936000 today. This keeps the IDR 24715800 minimum protected over the next 90 days.
request_171,65.29,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 500 minimum protected.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,Pay ZAR 10200 today. This keeps the ZAR 27200 minimum protected over the next 90 days.
request_173,59631.47,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,Pay INR 113000 today. This keeps the INR 79100 minimum protected over the next 90 days.
request_174,1042.52,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 700 minimum protected.
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today. This keeps the EUR 1700 minimum protected over the next 90 days.
request_176,151.91,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.60 today. This keeps the USD 1300 minimum protected over the next 90 days.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Pay EUR 2938.10 today. This keeps the EUR 1400 minimum protected over the next 90 days.
request_179,8813069.02,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,Pay IDR 41648000 today. This keeps the IDR 41430800 minimum protected over the next 90 days.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This keeps the INR 37300 minimum protected over the next 90 days.
request_181,285.18,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 2000 minimum protected.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This keeps the ZAR 31100 minimum protected over the next 90 days.
request_183,24262828.32,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,Pay IDR 26866000 today. This keeps the IDR 11878300 minimum protected over the next 90 days.
request_184,10095.10,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 110800 minimum protected.
request_185,368.81,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1300 minimum protected.
request_186,4775.68,affordable_later,wait,2026-03-15:26554,2026-03-15,none,Pay ZAR 26554 today. This keeps the ZAR 22000 minimum protected over the next 90 days.
request_187,35453.08,affordable_later,wait,2024-09-15:187500,2024-09-15,none,Pay INR 187500 today. This keeps the INR 128300 minimum protected over the next 90 days.
request_188,122.22,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 900 minimum protected.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This keeps the EUR 400 minimum protected over the next 90 days.
request_190,743.43,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,Pay EUR 2557.50 today. This keeps the EUR 1600 minimum protected over the next 90 days.
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This keeps the EUR 500 minimum protected over the next 90 days.
request_192,114.32,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 1000 minimum protected.
request_193,39.98,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,Pay EUR 1212.20 today. This keeps the EUR 1000 minimum protected over the next 90 days.
request_194,31119.33,affordable_later,wait,2025-10-15:132800,2025-10-15,none,Pay INR 132800 today. This keeps the INR 113600 minimum protected over the next 90 days.
request_195,974.32,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,none,Pay EUR 1170.40 today. This keeps the EUR 700 minimum protected over the next 90 days.
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This keeps the EUR 500 minimum protected over the next 90 days.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,Pay IDR 50939000 today. This keeps the IDR 26245900 minimum protected over the next 90 days.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This keeps the INR 124300 minimum protected over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Pay IDR 23674000 today. This keeps the IDR 25359500 minimum protected over the next 90 days.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This keeps the IDR 20114600 minimum protected over the next 90 days.
request_201,22428820.53,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 17304500 minimum protected.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This keeps the INR 147800 minimum protected over the next 90 days.
request_203,1016.43,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1400 minimum protected.
request_204,543.48,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,Pay EUR 588.74 today. This keeps the EUR 1300 minimum protected over the next 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This keeps the IDR 13994300 minimum protected over the next 90 days.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Pay EUR 1404.70 today. This keeps the EUR 900 minimum protected over the next 90 days.
request_207,6039.71,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Pay ZAR 11830 today. This keeps the ZAR 13600 minimum protected over the next 90 days.
request_208,3115237.02,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Pay IDR 4413000 today. This keeps the IDR 10470700 minimum protected over the next 90 days.
request_209,2281.51,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 18400 minimum protected.
